test,train_size,test_size,model,accuracy,net_change_ratio,false_negative_rate,false_positive_rate,true_positive_count,true_negative_count
w105,847,6,BaggingClassifier,1.0,inf,inf,0.0,0,6
w105-w81,577,276,RandomForestClassifier,0.9927536231884058,0.9995609330194212,0.0,0.2222222222222222,267,9
w105-w82,814,39,DecisionTreeClassifier,0.8205128205128205,0.9399802035191467,0.13793103448275862,0.3,29,10
w105-w97,691,162,DecisionTreeClassifier,0.9691358024691358,0.9897780254804038,0.019230769230769232,0.3333333333333333,156,6
w105-w77,659,194,LogisticRegression,0.8350515463917526,0.893540110813871,0.2553191489361702,0.08,94,100
w105-w78,771,82,DecisionTreeClassifier,0.7317073170731707,0.7809536086659981,0.0,0.8461538461538461,56,26
w105-w47,751,102,BaggingClassifier,0.7450980392156863,0.9066879241408748,0.0,0.8125,70,32
w105-w11,826,27,DecisionTreeClassifier,1.0,0.9999999999999999,0.0,0.0,21,6
w105-w20,845,8,LabelSpreading,1.0,inf,inf,0.0,0,8
w105-w68,844,9,BaggingClassifier,1.0,1.0,0.0,0.0,3,6
w105-w54,847,6,BaggingClassifier,1.0,inf,inf,0.0,0,6
w105-w03,847,6,BaggingClassifier,1.0,inf,inf,0.0,0,6
w105-w13,847,6,BaggingClassifier,1.0,inf,inf,0.0,0,6
w105-w31,845,8,DecisionTreeClassifier,1.0,inf,inf,0.0,0,8
w105-w54-w68,844,9,BaggingClassifier,1.0,1.0,0.0,0.0,3,6
w105-w13-w77,659,194,LogisticRegression,0.8350515463917526,0.893540110813871,0.2553191489361702,0.08,94,100
w105-w13-w03,847,6,BaggingClassifier,1.0,inf,inf,0.0,0,6
w105-w31-w97-w47,593,260,RidgeClassifierCV,0.8769230769230769,0.9643573120546544,0.0,0.9411764705882353,226,34
w105-w31-w78-w47,673,180,BaggingClassifier,0.7444444444444445,0.9102707984153786,0.0,0.8518518518518519,126,54
w105-w47-w11-w20,728,125,SGDClassifier,0.792,0.9518419341915775,0.0,0.7647058823529411,91,34
w105-w47-w81-w81,481,372,XGBClassifier,0.9247311827956989,0.9878935936994113,0.002967359050445104,0.7714285714285715,337,35
w105-w47-w81-w81-w68-w20-w11,455,398,LogisticRegression,0.9195979899497487,0.9816108530851366,0.013850415512465374,0.7297297297297297,361,37
w105-w47-w97-w78-w77-w20-w11,308,545,LogisticRegression,0.7541284403669725,0.9449364352994798,0.03526448362720403,0.8108108108108109,397,148
